ContactId,FirstName,LastName,DateOfBirth,AllowContactByPhone,CreatedDate
0,Stephen,Gerrard,5/30/1980,1,
0,Dennis,Potter,5/17/1935,0,
0,Richard,Adams,5/9/1920,0,
0,Bertie,McQuillan,6/30/2001,1,
0,Walt,Disney,12/5/1966,1,
0,Barbara,Gordon,1/11/1952,0,
0,Josephine,Bailey,5/31/1949,1,
0,Linda,Canoglu,7/11/1959,1,
0,Grace,McQuillan,9/27/1993,0,
0,Vera,Black,8/3/1984,0,
0,Angelica,Jones,2/4/1981,1,
0,Steve,Davis,8/22/1957,1,
0,Allison,Fisher,2/24/1968,1,
0,julius,Marx,10/2/1990,0,
0,george,formby,5/26/1944,1,
0,Alan,Partridge,4/14/1965,0,
0,Harper,Lee,4/28/1986,1,
0,Robert,Burns,1/25/1959,0,
0,Michael,Jackson,6/30/1967,0,
0,Roald Dahl,,9/13/1916,1,
